ID,Start.Elapsed,End.Elapsed,Mean_Speed,Mean_IAI,Mean_AcclX,Mean_AcclY,Mean_AcclZ,Mean_GyroX,Mean_GyroY,Mean_GyroZ,Min_Speed,Min_IAI,Min_AcclX,Min_AcclY,Min_AcclZ,Min_GyroX,Min_GyroY,Min_GyroZ,Max_Speed,Max_IAI,Max_AcclX,Max_AcclY,Max_AcclZ,Max_GyroX,Max_GyroY,Max_GyroZ,CODangle,Outcome.y.45to180,Outcome.y.45to90,Outcome.y.90to135,Outcome.y.135to180
19,0,2.5,0.759022829,0.919889625,0.13835,0.4242,0.82835,61.8496,-37.4784,-148.8896,0,0,-0.475,-0.3375,-0.5,-1331.2,-1996.8,-1484.8,2.18611286,3.6388918,0.9375,2.25,2.225,1792,614.4,614.4,41.68338148,0,0,0,0
19,2.5,5,3.509113918,2.043001634,0.09345,0.8735,0.69105,84.992,53.8624,69.8368,1.87222372,0,-1.0875,-1.075,-0.5875,-1638.4,-2150.4,-1792,4.74444824,5.0555596,2.275,4.0375,4.7,2764.8,2457.6,2304,25.16055304,0,0,0,0
19,5,7.5,4.628137036,2.889113422,0.1434,1.0006,0.4819,33.1776,-45.6704,-60.6208,4.1805589,0,-0.7875,-1.0625,-0.25,-2150.4,-2457.6,-1945.6,5.10278186,4.9722262,2.275,5.125,3.0125,2713.6,2099.2,1740.8,10.21831148,0,0,0,0
19,7.5,10,4.177892231,2.815446697,0.08405,1.00315,0.471,-15.36,73.3184,110.7968,3.2500026,0,-1.2,-1,-0.3875,-2099.2,-4761.6,-1689.6,4.99167066,5.8611158,2.2375,6.5625,4.375,3225.6,3584,1689.6,2.83460458,0,0,0,0
19,10,12.5,2.886268976,2.344224098,0.0931,1.0431,0.4308,47.5136,131.072,26.4192,2.11666836,0,-0.6,-0.7125,-0.3625,-1689.6,-2508.8,-1280,3.77500302,5.5277822,1.5,4.7375,3.175,3276.8,2508.8,1689.6,6.217599874,0,0,0,0
19,12.5,15,1.22827876,1.418890024,0.05055,0.99275,0.42555,21.0944,290.6112,156.2624,0.85555624,0.0833334,-0.3375,-0.2875,-0.1125,-1945.6,-921.6,-665.6,1.99444604,3.750003,1.2125,3.6,2.05,2457.6,1126.4,870.4,46.72637445,0,0,0,0
19,15,17.5,1.046967504,1.548334572,0.26045,0.89505,0.558,-147.456,-189.44,-190.8736,0,0,-0.7375,-0.525,-0.175,-1587.2,-2560,-1638.4,2.88611342,4.722226,1.7875,2.2,1.825,1228.8,1331.2,1228.8,153.7558207,0,0,0,0
19,17.5,20,2.528168689,1.556223467,0.02255,0.9248,0.46095,181.0432,181.6576,33.5872,0,0,-0.95,-0.8125,-0.3875,-2457.6,-1894.4,-1740.8,3.6666696,5.4444488,1.3875,5.9375,3.4625,3481.6,1843.2,1740.8,1.882939253,0,0,0,0
19,20,22.5,2.647757674,2.584557623,0.12195,0.89845,0.6507,117.9648,599.2448,459.9808,0,0,-0.7875,-0.9,-0.4875,-1331.2,-1433.6,-1638.4,4.34167014,5.6111156,1.6875,4.6625,4.1625,2969.6,2867.2,2457.6,3.80228112,0,0,0,0
19,22.5,25,4.198592248,1.907668193,0.13785,0.9492,0.4027,-27.4432,-100.5568,-156.2624,3.57500286,0,-0.9875,-1.0375,-0.2875,-1945.6,-3020.8,-1996.8,4.79722606,5.416671,2.2375,5.3375,3.2,3123.2,2048,1484.8,14.19864922,0,0,0,0
19,25,27.5,5.099592969,1.662223552,0.1184,0.94485,0.4805,-27.0336,-31.1296,15.36,4.41111464,0.0277778,-0.8625,-1.175,-0.45,-2048,-2918.4,-2304,5.5972267,4.8888928,2.4375,5.525,4.4625,3072,2918.4,2048,5.596462029,0,0,0,0
19,27.5,30,5.168026357,1.736779167,0.08215,0.9894,0.3575,21.2992,83.968,22.9376,4.8750039,0,-0.8625,-1.125,-0.2375,-1843.2,-2713.6,-1792,5.43333768,4.7500038,1.775,6.225,2.9125,2355.2,3072,1843.2,3.314420973,0,0,0,0
